当て嵌める	跡地	ありきたり	言い残す	言い放つ	怒り	一途	一任	逸材	一層
あてはめる	あとち	ありきたり	いいのこす	いいはなつ	いかり	いちず	いちにん	いつざい	いっそう
适用于	旧址	老一套的	把话不说完	断言	生气	专心	全权委托	卓越的人才	越发
1
イメージ	愈々	インスピレーション	薄まる	裏付け	エントリー	大口	大台	自ずと	重み
いめーじ	いよいよ	inspiration	うすまる	うらづけ	えんとりー	おおぐち	おおだい	おのずと	おもみ
印象 想象	越来越	灵感	变淡	证据	报名	大宗	大关	自然而然地	分量
2
改革	会心	回復	果敢	核心	加工	ガサガサ	頑な	からっと	…絡み
かいかく	かいしん	かいふく	かかん	かくしん	かこう	がさがさ	かたくな	からっと	…がらみ
改革	满意的	恢复	果敢	核心	加工	粗糙 沙沙作响	顽固	松脆	包括…在内
3
キープする	急遽	究明	仰天	供与	極力	巨匠	口出し	グラグラ	暗闇
きーぷする	きゅうきょ	きゅうめい	ぎょうてん	きょうよ	きょくりょく	きょしょう	くちだし	ぐらぐら	くらやみ
保持	仓皇	究明	非常吃惊	供给	极力	巨匠	插嘴 干预	摇晃	暗处
4
…ぐるみ	気配	堅実	広大	考慮	コーディネート	克明	拘る	こっそり	転がる
…ぐるみ	けはい	けんじつ	こうだい	こうりょ	coordinate	こくめい	こだわる	こっそり	ころがる
包括…在内	苗头	坚实	广大	考虑	搭配	细致	拘泥	偷偷地	滚转
5
根拠	細工	採取	逆らう	差し引く	察知	妨げる	…誌	仕組み	したたか
こんきょ	さいく	さいしゅ	さからう	さしひく	さっち	さまたげる	…し	しくみ	したたか
根据	工艺品 耍花招	采集	违背	扣除	察觉	妨碍	…的杂志	结构	难对付
6
頻りに	実況	実権	実在	実情	しっとり	シビア	ジメジメ	釈明	従属
しきりに	じっきょう	じっけん	じつざい	じつじょう	しっとり	severe	じめじめ	しゃくめい	じゅうぞく
频繁地	实况	实权	实际存在	实情	潮湿 恬静	严厉	湿漉漉 阴沉	申明	从属
7
修復	従来	趣旨	需要	瞬時	触発	処置	仕業	シンプル	…尽くめ
しゅうふく	じゅうらい	しゅし	じゅよう	しゅんじ	しょくはつ	しょち	しわざ	simple	…ずくめ
修复	过去	主旨	需求	瞬间	受刺激（去做）	处置	捣鬼	简单	尽是…
8
術	狭める	総じて	即刻	素振り	逸れる	それそれ	大家	高み	ためらう
すべ	せばめる	そうじて	そっこく	そぶり	それる	それそれ	たいか	たかみ	ためらう
手段	缩短	总而言之	即刻	神态	偏离	心慌	权威	高处	犹豫
9
探知	断念	チャージ	培う	集い	積み立てる	強み	的確	摘出	手間
